scoutId,regio2,regio3,street,houseNumber,geo_plz,totalRent,baseRent,serviceCharge,livingSpace,noRooms,floor,numberOfFloors,balcony,cellar,hasKitchen,garden,lift,petsAllowed,typeOfFlat,heatingType,condition,interiorQual,yearConstructed,lastRefurbish,newlyConst,energyEfficiencyClass,noParkSpaces
115691142,Berlin,Köpenick_Köpenick,Wendenschlo&szlig;stra&szlig;e,435,12557,972.0,722.0,250.0,83.0,2.0,2.0,2.0,False,False,False,False,False,negotiable,apartment,central_heating,refurbished,normal,1928.0,2019.0,False,,1.0
115649948,Berlin,Charlottenburg_Charlottenburg,Bismarckstr.,102,10625,456.87,316.87,90.0,39.0,1.0,3.0,,False,False,False,False,True,negotiable,apartment,district_heating,well_kept,normal,,,False,,
106752149,Berlin,Mitte_Mitte,Neue Gr&uuml;nstra&szlig;e,19c,10179,1627.0,1449.0,178.0,65.83,3.0,3.0,7.0,True,True,True,True,True,,apartment,central_heating,first_time_use,luxury,2018.0,,True,C,1.0
109894257,Berlin,Karow_Weißensee,Hofzeichendamm,"13a
",13125,722.26,564.27,157.99,53.74,2.0,,4.0,True,True,False,False,False,negotiable,ground_floor,central_heating,first_time_use,normal,,,False,B,
105904010,Berlin,Tiergarten_Tiergarten,Turmstra&szlig;e,110,10551,629.0,549.0,80.0,42.0,1.0,,,True,True,True,True,True,no,apartment,district_heating,first_time_use_after_refurbishment,sophisticated,1966.0,2016.0,False,,
98323161,Berlin,Friedrichshain_Friedrichshain,Simplonstra&szlig;e,17,10245,779.41,642.3,64.32,42.82,1.0,0.0,5.0,True,True,False,False,False,negotiable,ground_floor,central_heating,refurbished,normal,1900.0,2005.0,False,,
111287208,Berlin,Johannisthal_Treptow,K&ouml;nigsheideweg,264,12487,739.0,646.0,93.0,63.03,2.0,4.0,4.0,True,False,False,False,False,negotiable,roof_storey,self_contained_central_heating,,,1904.0,,False,,
114146750,Berlin,Tiergarten_Tiergarten,Heidestra&szlig;e,19,10557,1244.85,1071.15,115.8,57.9,2.0,2.0,5.0,True,True,True,False,True,negotiable,apartment,district_heating,first_time_use,sophisticated,2019.0,2019.0,True,C,
114728871,Berlin,Adlershof_Treptow,D&ouml;rpfeldstra&szlig;e,5,12489,960.38,763.28,197.1,40.6,1.0,5.0,,True,False,True,False,True,no,apartment,,mint_condition,,,,False,A,
115120220,Berlin,Friedrichshain_Friedrichshain,M&uuml;ggelstra&szlig;e,13,10247,1090.48,887.6,107.78,63.4,2.0,5.0,6.0,True,False,False,True,False,negotiable,maisonette,central_heating,well_kept,normal,1910.0,,False,D,
112931914,Berlin,Charlottenburg_Charlottenburg,Wilmersdorfer Str.,67,10629,1458.0,1288.0,170.0,56.0,2.0,5.0,6.0,True,True,True,False,True,negotiable,,floor_heating,mint_condition,sophisticated,2015.0,,False,NO_INFORMATION,
115612190,Berlin,Wedding_Wedding,Turiner Stra&szlig;e,48,13347,1080.0,975.0,105.0,52.0,2.0,5.0,6.0,True,True,True,False,False,,apartment,self_contained_central_heating,,,1905.0,,False,D,
113755157,Berlin,Weißensee_Weißensee,G&auml;blerstr.,100,13086,639.0,530.0,66.0,44.0,2.0,1.0,3.0,True,True,True,False,False,negotiable,apartment,central_heating,well_kept,sophisticated,1932.0,,False,,
107313828,Berlin,Lichtenberg_Lichtenberg,Margaretenstra&szlig;e,11,10317,1322.17,1202.17,120.0,75.0,3.0,1.0,4.0,True,True,True,True,False,,apartment,gas_heating,,,,,False,,
106721151,Berlin,Spandau_Spandau,Zeppelinstr.,26,13583,698.73,468.94,229.79,60.12,2.0,0.0,,False,True,False,False,False,,ground_floor,,modernized,,1926.0,,False,,
113836609,Berlin,Staaken_Spandau,Heerstr.,435,13593,623.29,366.29,257.0,58.74,2.0,3.0,,True,False,False,False,True,,apartment,night_storage_heater,,,1974.0,,False,C,
